Altitude_km,Inclination_deg,0.2_mmAl,0.4_mmAl,0.6_mmAl,0.8_mmAl,1_mmAl,1.25_mmAl,1.5_mmAl,1.75_mmAl,2_mmAl,2.5_mmAl,3_mmAl,4_mmAl,5_mmAl,6_mmAl
400,0,5.384,3.782,3.331,3.051,2.877,2.699,2.551,2.432,2.314,2.129,1.985,1.765,1.587,1.441
400,20,471.7,300.2,251.9,222.7,204.8,187.4,173,161.7,150.7,134.3,122.4,105.4,92.37,82.16
400,40,1679,966,760.5,639.9,570.5,504.3,450.5,408.8,369.1,312.2,275,226.1,190.1,163.1
400,60,864.3,505.9,403.2,342.7,307.5,273.8,246.3,225,204.6,175.2,155.6,129.5,110.1,954.7
400,80,775.1,454.3,361.8,307.2,275.4,245,220.3,201,182.7,156.1,138.5,115,97.6,84.42
600,0,426.8,273.7,231.8,206.4,190.9,175.7,163.2,153.3,143.7,129.2,118.5,103,90.91,81.37
600,20,5935,3966,3348,2965,2722,2484,2288,2133,1981,1754,1594,1370,1198,1063
600,40,11120,6984,5632,4814,4320,3845,3457,3155,2865,2445,2168,1803,1530,1324
600,60,6082,3836,3106,2664,2396,2138,1928,1764,1606,1376,1224,1023,871.8,757.1
600,80,5002,3174,2579,2217,1997,1785,1611,1476,1346,1156,1030,861.9,736,640.1
800,0,8215,5390,4542,4020,3694,3375,3112,2904,2702,2397,2182,1879,1646,1464
800,20,29290,20930,17830,15860,14560,13290,12230,11400,10580,9353,8491,7283,6347,5613
800,40,35890,23260,18870,16200,14580,13020,11740,10740,9780,8378,7446,6201,5261,4544
800,60,21460,14130,11550,9981,9016,8081,7316,6717,6139,5290,4721,3954,3371,2924
800,80,18360,12120,9923,8578,7751,6951,6296,5782,5286,4559,4070,3409,2907,2521
1000,0,53590,38120,32620,29120,26810,24540,22660,21170,19710,17500,15940,13730,12010,10670
1000,20,90010,66550,56810,50550,46410,42340,38970,36290,33660,29690,26880,22880,19730,17240
1000,40,84750,56440,46140,39870,36070,32390,29370,27000,24700,21310,19000,15830,13380,11480
1000,60,54930,37310,30710,26670,24190,21790,19810,18250,16740,14500,12970,10860,9209,7928
1000,80,48230,32710,26930,23390,21220,19120,17390,16030,14710,12750,11400,9546,8100,6975
1200,0,214000,160400,138300,123800,114200,104600,96690,90370,84150,74700,67930,58240,50580,44510
1200,20,274500,187500,153700,133100,120700,108700,98960,91310,83960,73220,65920,55830,47920,41690
1200,40,214100,132900,105600,89480,80340,71600,64490,58970,53690,46080,41030,34220,28940,24840
1200,60,137800,86660,69120,58780,52860,47190,42580,39000,35580,30630,27350,22900,19440,16750
1200,80,116700,74290,59580,50870,45840,41010,37070,34010,31080,26820,23970,20090,17060,14700
1400,0,590100,419000,348900,305500,278600,252500,2312000,214200,198000,174100,157600,134500,116200,101700
1400,20,562100,365800,293200,250100,225300,201500,182100,167100,152900,132300,118700,100200,85760,74420
1400,40,375000,228000,179200,150900,135200,120200,108000,98610,89700,76940,68590,57390,48710,41940
1400,60,256900,157900,124400,104900,94040,83670,75260,68760,62600,53800,48030,40290,34270,29580
1400,80,223700,137800,108600,91640,82120,73080,65740,60060,54690,47010,41970,35210,29960,25860
